Capture ID,Library collection,Client build,Packets,Observed map ID count,Observed quest ID count,Campsite requests,Trading Post purchases,Gameplay coverage,Capture name,SHA256
SN-1EC5439622A9,Midnight,69497,166274,1,12,2,0,Not certified,dump_12.1.0.69497_2026-08-31_03-54-46.pkt,1EC5439622A9C437A8C23BC74935CCD4F87BDB7D57BBA821083AF38E374292E1
SN-B512EA9F7D7B,Midnight,69497,382733,4,17,2,0,Not certified,dump_12.1.0.69497_2026-08-30_21-51-32.pkt,B512EA9F7D7B34D926803A7457CA737651553E0B5214E11466419585B6414E6F
SN-602DCBE89211,Midnight,69404,210177,5,11,2,0,Not certified,dump_12.1.0.69404_2026-08-21_03-46-25.pkt,602DCBE892116BCC5D34C7A9FF5DD54B24C00F5E7F46474359D57B56CE3B5208
SN-FF661CD411EE,Midnight,69404,274099,5,36,2,0,Not certified,dump_12.1.0.69404_2026-08-21_05-36-47.pkt,FF661CD411EE6E5381360F38BB77BD2FBA47CD863A19653917C08A61074C140E
SN-14B631870E75,Midnight,69382,75356,1,6,2,0,Not certified,dump_12.1.0.69382_2026-08-20_05-33-52.pkt,14B631870E75CD76FAA6B92A7866A263B93B42617E1687FE4FC278168ADB60E0
SN-3F3D598F6E52,Midnight,69382,4,0,0,0,0,Not certified,dump_12.1.0.69382_2026-08-19_23-55-13.pkt,3F3D598F6E5222EA79805049DA162A3081EC25836AE12A5D490CFF65033296BD
SN-4C4591118EA2,Midnight,69382,42459,1,5,2,0,Not certified,dump_12.1.0.69382_2026-08-19_23-55-39.pkt,4C4591118EA260ED20A87852E966AF79EA9C5F9D21CE42E9F17A12F15F702B68
SN-2A55A73AE644,Midnight,69299,236952,7,6,43,0,Not certified,Haranir Horde Creation + Login.pkt,2A55A73AE644ADA08695C3909D0FF0CF09EDD73EE1992FA0DF9FEBE4A397C051
SN-52F20C899CA8,Midnight,68974,103071,8,6,6,0,Not certified,Haranir horde monk intro.pkt,52F20C899CA842B43DABE02262A9C97DE9317E18B1C2675DC9D0AFB21170EDED
SN-79CD5EB70ED5,Midnight,68974,146833,7,6,46,0,Not certified,Haranir Alliance Creation + Login.pkt,79CD5EB70ED58845686BC5BA29CFBAFBB2D58B415AB3F385DFB6A3A5C8A1CEBC
SN-84C415E87088,Midnight,68974,106892,4,15,7,0,Not certified,Haranir 2 - Alliance - Warrior.pkt,84C415E87088645911440252BB4C30CBCA749DBBBACDC25D8ECB830BCF9CAE2D
SN-8AB450BC8296,Midnight,68974,565807,10,26,6,0,Not certified,Haranir horde monk lvl 80.pkt,8AB450BC8296C4DE6A9D1C66005EABADCFBB4C804F613203D27A7FBE7313D3BF
SN-9CCCF8C8686C,Midnight,68974,707,2,0,3,0,Not certified,Haranir 1 - Alliance - All customisations for male and female.pkt,9CCCF8C8686CD0F534D8D720D8827809147B1CF4E313DE8BFD2452A2B75189FE
SN-9FE9F0DC64B1,Midnight,68974,309052,8,83,5,0,Not certified,Haranir lvling 84-86 + Sojourner of zul'aman part 1.pkt,9FE9F0DC64B1CD0E5D22F0E93CF12473E7571B605CDFC39A65A877F43C61DABB
SN-A6C0FB8048C0,Midnight,68974,377411,8,75,5,0,Not certified,Haranir lvling + Sojourner of Eversong Woods Part 2.pkt,A6C0FB8048C0445F1A92041CB24C9F594F286AA9E41139C2B5992A168D5527B4
SN-ABCBDC41B0CF,Midnight,68974,529224,9,45,5,0,Not certified,Haranir lvling 86-87 + sojourner of zul'aman Part 2.pkt,ABCBDC41B0CF9A5C8640124653F5D91411C17C43A197EE328A90C72B5452F3F5
SN-B4BC974DBEB9,Midnight,68974,545221,9,39,3,0,Not certified,Campaign part 4.pkt,B4BC974DBEB9A36D0433357F2878DED513C8E317309230A91753510090A423F3
SN-B9E0803CEC43,Midnight,68974,555275,8,51,9,0,Not certified,Haranir lvling + Sojourner of Eversong Woods Part 1.pkt,B9E0803CEC439985E8CF75F751315220E63392A47ABFF377CD1222380DDE8BEF
SN-C5867A6E70B3,Midnight,68974,534294,12,116,5,0,Not certified,Haranir lvling 87-90 + Sojourner of harandar Part 1.pkt,C5867A6E70B3704DFDC95DD5F0418086E971987912E42015F33CF1051C7B193B
SN-C976B11FD359,Midnight,68974,287518,10,9,2,0,Not certified,Midnight Content.pkt,C976B11FD3595EE56C038DCEF73D3621BF1E758479A5153928938DD48A102753
SN-CF0A0697C4D2,Midnight,68974,463920,8,18,2,0,Not certified,"More Midnight, Dungeon and a Mount unlock.pkt",CF0A0697C4D29533BD8E098EA189E3996303773455AB71D2B465E994CABA4D0E
SN-E4C7FB84519B,Midnight,68974,179394,9,22,7,0,Not certified,Haranir lvling + Sojourner of eversong Woods Part 3.pkt,E4C7FB84519B333B9AEEDBE82128610B502178A0673C7659665F33DBDD920AA6
SN-06AA4D8B56D9,Midnight,68887,127685,3,24,3,0,Not certified,Midnight Questchain Harandar - Part VI.pkt,06AA4D8B56D92CEF137CEC815003D594D529F45977A7D9ED6F2415E8ABC58DF1
SN-0A2078855FC9,Midnight,68887,171494,4,22,2,0,Not certified,Midnight Secondary Questchain - Part XIX.pkt,0A2078855FC9DF8CFBF357206AD4CBD59AA1961FD62D6038D251FABF34D56140
SN-0E49BC27B28A,Midnight,68887,164155,5,29,2,0,Not certified,Eversong Secondary Questing - Part XVII.pkt,0E49BC27B28A32277657AA02697C107427A168C5FD9AAC320B2E6DA668AC5F02
SN-164BF865A397,Midnight,68887,84145,6,14,2,0,Not certified,Zul'aman Questing Part 1.pkt,164BF865A397381D2437D6963C4DB257186A68114B94D3EB38DD2242C8C8E7DC
SN-2304B0A0CE4E,Midnight,68887,191437,6,17,2,0,Not certified,Midnight Questchain Silvermoon Part I.pkt,2304B0A0CE4E1F6DE68EE0A784C3FBB61A04E1E796356CF7C04025AAC7CB7217
