Coverage ID,Bug ID,Request ID,Capture ID,Build,Observed opcode,Requests,Scope
COV-09,HG-QA-009,REQ-02,SN-1EC5439622A9,69497,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-B512EA9F7D7B,69497,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-602DCBE89211,69404,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-FF661CD411EE,69404,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-14B631870E75,69382,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-4C4591118EA2,69382,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-2A55A73AE644,69299,CMSG_SETUP_WARBAND_GROUPS,43,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-52F20C899CA8,68974,CMSG_SETUP_WARBAND_GROUPS,6,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-79CD5EB70ED5,68974,CMSG_SETUP_WARBAND_GROUPS,46,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-84C415E87088,68974,CMSG_SETUP_WARBAND_GROUPS,7,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-8AB450BC8296,68974,CMSG_SETUP_WARBAND_GROUPS,6,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-9CCCF8C8686C,68974,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-9FE9F0DC64B1,68974,CMSG_SETUP_WARBAND_GROUPS,5,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-A6C0FB8048C0,68974,CMSG_SETUP_WARBAND_GROUPS,5,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-ABCBDC41B0CF,68974,CMSG_SETUP_WARBAND_GROUPS,5,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-B4BC974DBEB9,68974,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-B9E0803CEC43,68974,CMSG_SETUP_WARBAND_GROUPS,9,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-C5867A6E70B3,68974,CMSG_SETUP_WARBAND_GROUPS,5,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-C976B11FD359,68974,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-CF0A0697C4D2,68974,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-E4C7FB84519B,68974,CMSG_SETUP_WARBAND_GROUPS,7,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-06AA4D8B56D9,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-0A2078855FC9,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-0E49BC27B28A,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-164BF865A397,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-2304B0A0CE4E,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-2D8CFC9D74BB,68887,CMSG_SETUP_WARBAND_GROUPS,6,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-2EC5FC0B8E41,68887,CMSG_SETUP_WARBAND_GROUPS,4,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-31198BBCA237,68887,CMSG_SETUP_WARBAND_GROUPS,4,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-3391437808E9,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-3417627AA7D7,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-34970D81D9A5,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-34AFE5167DEA,68887,CMSG_SETUP_WARBAND_GROUPS,6,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-39756117CECE,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-4C496F4AF471,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-4EBF455F13C5,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-5B5597C5457D,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-61A41D5BC652,68887,CMSG_SETUP_WARBAND_GROUPS,5,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-6554ED94C0D3,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-666AC40CC99B,68887,CMSG_SETUP_WARBAND_GROUPS,6,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-669DB730258C,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
